97,154,1421960
98,154,1420950
98,154,1421830
97,155,1422320
97,155,1852950
98,155,1422000
98,155,1423460
97,156,1422550
97,156,1423550
98,156,1422880
97,157,1423510
97,157,1424810
97,158,1424210
97,158,1425220
96,159,1425030
96,159,1426750
97,159,1424140
97,159,1424610
97,159,1425020
97,159,1425470
97,159,1426110
96,160,1425430
96,160,1426560
97,160,1424220
97,160,1424860
97,160,1425410
97,160,1426050
97,160,1427370
98,160,1476860
96,161,1426700
96,161,3596060
97,161,1427020
96,162,1427170
96,162,1428350
97,162,3822180
95,163,1430070
96,163,1427740
96,163,1428400
96,163,1429100
95,164,1433180
96,164,1428520
96,164,1429340
96,164,1846380
