161,122,709850
161,122,710410
161,122,8604330
161,123,709570
161,123,710130
161,123,3816200
162,123,7210740
161,124,709240
161,124,709790
161,124,957680
161,125,708980
161,125,709540
161,126,708660
161,126,709170
161,126,709860
161,126,711580
161,126,7304850
160,127,713790
161,127,708430
161,127,708830
161,127,709200
161,127,709640
161,127,710230
161,127,711000
161,127,711890
161,127,712490
161,127,712960
161,127,713510
162,127,712220
161,128,708210
161,128,708780
161,128,711790
161,128,712500
161,128,712910
161,128,713380
162,128,1546670
161,129,707900
161,129,708510
161,129,713090
161,130,707670
161,130,708300
162,130,5162610
161,131,707250
161,131,707830
161,131,1968510
161,132,707030
161,132,707640
