0,98,7754590
1,98,1723510
2,98,1723260
1,99,1723020
1,99,1723900
1,99,1725050
2,99,1722440
2,99,1723200
2,99,1723950
2,99,1725190
3,99,1883590
1,100,1725170
2,100,1723120
2,100,1723870
2,100,1724460
2,100,1725080
2,100,1725990
2,100,1727370
3,100,1724150
3,100,1725230
3,100,1728470
1,101,1727810
2,101,1724140
2,101,1724830
2,101,1725420
2,101,1726100
2,101,1727120
3,101,1724060
3,101,1724590
3,101,1725030
3,101,1725500
3,101,1726140
3,101,2737820
4,101,1725640
2,102,1725580
2,102,7214840
3,102,1724080
3,102,1724600
3,102,1725070
3,102,1725580
3,102,1726420
4,102,1724380
4,102,1725140
4,102,1725950
4,102,9562790
3,103,1725160
4,103,1724860
4,103,1725710
4,103,1726920
5,103,1725760
5,103,1786160
4,104,1726560
5,104,1725580
5,104,1726560
6,104,2936140
5,105,1727390
6,105,1726930
